               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.049104,            0.017214,           0.0023318,             0.70591,             0.67778,             0.60518,             0.34943,            0.062048,           0.0080341,           0.0013259,            0.004936,            0.004936,            0.004936
                  56,            0.044399,            0.016754,           0.0029663,             0.60361,             0.67857,              0.5567,             0.24674,            0.065981,           0.0082801,           0.0011735,            0.004796,            0.004796,            0.004796
                  57,            0.050489,            0.017541,           0.0028027,             0.59885,             0.60714,             0.54507,             0.23706,            0.075706,           0.0081107,           0.0012554,           0.0046568,           0.0046568,           0.0046568
                  58,            0.052912,            0.017229,           0.0026705,             0.52681,             0.60714,             0.51943,             0.19889,            0.069804,           0.0082508,           0.0012092,           0.0045184,           0.0045184,           0.0045184
                  59,            0.043926,            0.016496,           0.0024423,             0.59375,             0.60714,             0.52136,             0.27956,            0.070417,           0.0081247,           0.0012483,           0.0043809,           0.0043809,           0.0043809
                  60,            0.043838,            0.015759,           0.0026681,             0.58484,             0.67857,             0.55113,             0.36924,            0.058411,           0.0081137,           0.0011727,           0.0042445,           0.0042445,           0.0042445
                  61,             0.04306,            0.015888,            0.002994,             0.61783,             0.64286,             0.55185,             0.28303,             0.06498,           0.0081593,           0.0011662,           0.0041094,           0.0041094,           0.0041094
                  62,            0.042438,            0.017071,           0.0024809,             0.56037,             0.57143,             0.51966,             0.35108,            0.070327,            0.008029,             0.00116,           0.0039757,           0.0039757,           0.0039757
                  63,            0.042783,            0.016945,           0.0026302,             0.62923,                0.75,             0.58276,             0.38745,            0.054862,           0.0081507,            0.001033,           0.0038434,           0.0038434,           0.0038434
                  64,             0.04422,            0.015123,           0.0030786,             0.54476,             0.64286,             0.55205,             0.40779,            0.064799,           0.0078347,           0.0010901,           0.0037128,           0.0037128,           0.0037128
                  65,            0.040778,            0.014241,            0.001843,              0.6032,             0.60714,             0.52129,             0.33569,            0.065784,           0.0079278,           0.0010863,            0.003584,            0.003584,            0.003584
                  66,            0.039712,            0.015508,           0.0033337,             0.69552,             0.71429,             0.61955,             0.42474,              0.0569,           0.0077724,           0.0010215,            0.003457,            0.003457,            0.003457
